# Dungeons & Dolphins structured item catalog.
# Format: Name|Category|Rarity|Source
# Expansion records contain names and catalog metadata only; add one custom record per line.
Tinker's Tools|Tool|Mundane|SRD5.2.1
Weaver's Tools|Tool|Mundane|SRD5.2.1
Woodcarver's Tools|Tool|Mundane|SRD5.2.1
Disguise Kit|Tool|Mundane|SRD5.2.1
Forgery Kit|Tool|Mundane|SRD5.2.1
Gaming Set|Tool|Mundane|SRD5.2.1
Herbalism Kit|Tool|Mundane|SRD5.2.1
Musical Instrument|Tool|Mundane|SRD5.2.1
Navigator's Tools|Tool|Mundane|SRD5.2.1
Poisoner's Kit|Tool|Mundane|SRD5.2.1
Thieves' Tools|Tool|Mundane|SRD5.2.1
