# MonsterPack=1
# id|name|CR eighths|XP|AC|HP|type|environment|source|role
riding_horse|Riding Horse|2|50|11|13|Beast|Wilderness|Open Reference|Skirmisher
saber_toothed_tiger|Saber-Toothed Tiger|16|450|13|52|Beast|Wilderness|Open Reference|Brute
scorpion|Scorpion|0|10|11|1|Beast|Wilderness|Open Reference|Minion
seahorse|Seahorse|0|10|12|1|Beast|Aquatic|Open Reference|Minion
spider|Spider|0|10|12|1|Beast|Wilderness|Open Reference|Minion
swarm_of_bats|Swarm of Bats|2|50|12|11|Swarm|Wilderness|Open Reference|Minion
swarm_of_insects|Swarm of Insects|4|100|11|19|Swarm|Wilderness|Open Reference|Minion
swarm_of_piranhas|Swarm of Piranhas|8|200|13|28|Swarm|Aquatic|Open Reference|Minion
swarm_of_rats|Swarm of Rats|2|50|10|14|Swarm|Wilderness|Open Reference|Minion
swarm_of_ravens|Swarm of Ravens|2|50|12|11|Swarm|Wilderness|Open Reference|Minion
swarm_of_venomous_snakes|Swarm of Venomous Snakes|16|450|14|36|Swarm|Wilderness|Open Reference|Minion
tiger|Tiger|8|200|13|30|Beast|Wilderness|Open Reference|Skirmisher
triceratops|Triceratops|40|1800|14|114|Beast|Wilderness|Open Reference|Minion
tyrannosaurus_rex|Tyrannosaurus Rex|64|3900|13|136|Beast|Wilderness|Open Reference|Brute
venomous_snake|Venomous Snake|1|25|12|5|Beast|Wilderness|Open Reference|Minion
vulture|Vulture|0|10|10|5|Beast|Wilderness|Open Reference|Minion
warhorse|Warhorse|4|100|11|19|Beast|Wilderness|Open Reference|Brute
weasel|Weasel|0|10|13|1|Beast|Wilderness|Open Reference|Minion
wolf|Wolf|2|50|12|11|Beast|Wilderness|Open Reference|Skirmisher
